60,5x12,60,58,62,59,Multiplication
63,6x3,18,16,20,17,Multiplication
93,8x9,72,70,74,71,Multiplication
84,7x12,84,82,86,83,Multiplication
124,11x4,44,42,46,43,Multiplication
57,5x9,45,43,47,44,Multiplication
140,12x8,96,94,98,95,Multiplication
98,9x2,18,16,20,17,Multiplication
140,12x8,96,94,98,95,Multiplication
69,6x9,54,52,56,53,Multiplication
73,7x1,7,5,9,6,Multiplication
57,5x9,45,43,47,44,Multiplication
88,8x4,32,30,34,31,Multiplication
111,10x3,30,28,32,29,Multiplication
75,7x3,21,19,23,20,Multiplication
92,8x8,64,62,66,63,Multiplication
42,4x6,24,22,26,23,Multiplication
39,4x3,12,10,14,11,Multiplication
1,1x1,1,0,2,3,Multiplication
131,11x11,121,119,123,120,Multiplication
